eqIncome,gender,eqsize,cash,self_empl,unempl_ben,age_ben,surv_ben,sick_ben,dis_ben,rent,fam_allow,house_allow,cap_inv,tax_adj,state,district
15962.29,male,1.946671903936419,17380.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District5
10446.75,male,2.4845478977007605,32689.35,0.0,4031.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1659.91,State1,District3
17950.43,female,2.717548008256009,32597.54,15108.53,0.0,0.0,0.0,4112.62,0.0,0.0,0.0,0.0,902.2,0.0,State2,District3
20956.01,female,2.9232030409624157,0.0,10869.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1259.99,State2,District2
23251.65,male,2.1098008600531046,1182.84,4200.3,0.0,0.0,0.0,1167.98,0.0,0.0,0.0,0.0,655.7,0.0,State3,District5
13842.15,female,2.696989269080898,10542.51,0.0,0.0,8514.8,0.0,0.0,0.0,8930.22,0.0,0.0,0.0,-1066.39,State1,District5
15713.71,female,2.342917401817542,18593.03,7534.39,0.0,0.0,0.0,0.0,0.0,0.0,-344.4,0.0,0.0,-1116.09,State3,District3
10952.78,female,1.817002349860039,5600.55,0.0,6337.82,0.0,0.0,0.0,0.0,0.0,1266.09,0.0,0.0,0.0,State3,District4
20745.67,female,1.000289055052614,16357.39,2520.71,0.0,0.0,0.0,2113.18,6261.04,0.0,0.0,0.0,1687.89,-1059.38,State2,District1
22649.62,female,1.0494127218334612,14385.88,0.0,0.0,8085.53,0.0,0.0,0.0,3135.3,0.0,3046.22,0.0,-45.28,State3,District1
29407.99,male,1.0285919772107686,0.0,0.0,0.0,9908.69,8523.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District3
10211.62,male,2.2144170054859007,24720.41,-7626.76,1242.19,0.0,9897.39,0.0,0.0,6838.73,0.0,0.0,112.32,-1289.62,State3,District3
18708.8,male,1.0095534238090003,0.0,0.0,5644.22,11439.0,0.0,0.0,2503.18,5015.42,0.0,0.0,0.0,-2404.56,State1,District4
13679.02,male,2.480078370088769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District4
20239.61,female,2.024283210371773,26342.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2609.11,0.0,0.0,State3,District1
