ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.377,1,34,3410,7499189.59,1,63,0,1,7,0
2,1.293,1,92,9292,7499783.2,1,44,0,1,9,1
3,0.993,1,11,1108,7503231.73,0,24,1,3,9,0
4,1.62,1,72,7239,7498402.89,1,62,1,2,9,0
5,1.31,1,64,6495,7495367.19,0,54,0,4,2,0
6,0.925,1,36,3616,7503247.33,1,27,1,1,7,1
7,0.409,1,82,8274,7499493.9,1,27,0,4,5,0
8,0.902,1,53,5365,7497916.32,1,23,0,4,5,0
9,1.04,1,14,1470,7502239.02,0,64,0,4,3,0
10,0.886,1,73,7326,7501023.12,1,35,0,6,2,0
11,1.007,1,64,6420,7500938.9,1,35,1,3,1,1
12,1.491,1,12,1206,7499254.07,1,34,1,6,5,1
13,1.246,1,11,1185,7498205.44,0,39,0,5,6,0
14,1.404,1,91,9103,7501041.69,0,64,1,6,10,1
15,0.588,1,92,9224,7499146.33,0,33,0,5,7,0
16,1.003,1,64,6407,7498419.68,1,15,1,5,6,0
17,1.399,1,81,8160,7499510.66,0,32,0,2,2,0
18,0.752,1,34,3483,7499997.41,0,29,1,3,1,0
19,1.58,1,72,7206,7503176.29,1,43,0,6,7,0
20,0.618,1,62,6238,7500956.15,1,41,1,2,5,0
21,0.803,1,73,7358,7503321.9,1,51,0,6,8,0
22,1.454,1,19,1946,7500539.96,1,26,1,1,1,0
23,0.345,1,64,6498,7499568.46,0,35,0,5,7,0
24,1.24,1,73,7371,7499741.42,1,26,1,3,6,1
25,0.618,1,34,3409,7499943.33,0,29,1,2,9,0
26,0.648,1,81,8112,7501356.35,0,16,1,3,2,0
27,1.009,1,33,3309,7500618.93,0,21,1,4,9,0
28,0.978,1,17,1789,7497201.47,1,44,0,4,8,0
29,1.163,1,74,7455,7499554.77,0,33,1,1,2,0
30,0.949,1,12,1214,7500669.77,1,53,1,6,10,0
31,0.904,1,53,5367,7500872.47,0,65,0,5,9,1
32,0.642,1,21,2132,7501600.83,0,42,0,4,8,0
33,1.078,1,63,6348,7501889.71,0,48,0,2,7,0
34,0.248,1,82,8272,7501139.26,0,40,1,5,6,0
35,1.187,1,17,1796,7501354.56,1,20,0,1,8,0
36,1.058,1,16,1650,7501008.69,0,60,0,5,4,0
37,1.406,1,51,5160,7502492.94,0,46,0,3,7,1
38,1.417,1,61,6193,7499698.09,0,29,0,1,6,1
39,0.567,1,18,1827,7498943.25,0,33,1,4,1,1
40,1.173,1,34,3455,7498417.53,0,21,0,2,8,0
41,0.755,1,91,9159,7500299.64,0,21,0,1,4,0
42,0.843,1,53,5394,7499379.04,0,22,1,1,10,0
43,1.228,1,63,6387,7499393.71,0,51,0,5,3,0
44,1.133,1,32,3297,7499101.51,1,18,1,3,8,0
45,1.131,1,81,8174,7500362.5,0,56,0,2,1,0
