ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.119,1,64,6459,7498970.18,0,35,0,6,2,0
2,0.906,1,16,1649,7498503.63,1,57,0,3,4,0
3,0.822,1,21,2151,7499906.75,0,41,1,6,4,1
4,1.345,1,63,6393,7500520.94,0,61,1,5,10,0
5,1.401,1,75,7550,7499051.06,1,24,1,4,5,0
6,1.091,1,53,5354,7500780.97,0,19,0,6,10,0
7,0.864,1,91,9191,7499232.64,0,65,0,5,1,0
8,1.154,1,21,2113,7502472.94,1,27,0,1,6,1
9,1.249,1,13,1341,7499384.63,1,23,1,4,2,0
10,1.189,1,12,1232,7500698.87,0,40,1,5,1,0
11,0.564,1,52,5289,7499600.4,1,54,1,1,10,1
12,0.899,1,72,7289,7501811.44,0,26,1,4,7,0
13,1.108,1,72,7271,7499323.58,1,21,0,3,6,0
14,1.187,1,13,1322,7498747.91,1,15,0,2,9,1
15,1.288,1,19,1980,7499280.3,1,26,1,1,8,0
16,1.228,1,13,1356,7502805.12,1,33,1,3,2,0
17,0.66,1,53,5385,7498804.17,1,20,1,4,2,0
18,0.788,1,64,6498,7498778.99,0,54,1,4,2,0
19,0.634,1,16,1698,7501631.07,0,34,1,3,8,1
20,1.541,1,91,9113,7502132.23,1,21,0,2,6,0
21,1.054,1,63,6383,7499360.12,1,52,0,1,2,0
22,1.166,1,36,3608,7499112.55,0,44,1,4,5,1
23,1.31,1,31,3187,7500006.82,0,39,1,2,6,0
24,0.901,1,14,1441,7499469.77,1,44,1,4,9,0
25,0.655,1,31,3127,7498503.73,0,64,1,5,9,0
26,0.872,1,65,6574,7499861.8,1,33,1,1,5,0
27,0.956,1,64,6439,7497085.47,1,16,0,4,4,0
28,1.45,1,82,8256,7499642.61,0,38,0,2,1,0
29,1.261,1,18,1840,7498303.08,0,64,1,2,5,1
30,0.674,1,91,9168,7498741.69,0,35,1,6,3,0
31,1.199,1,36,3676,7499812.52,1,55,0,1,10,0
32,1.22,1,52,5294,7500829.11,0,28,0,6,1,0
33,0.682,1,32,3244,7499997.45,1,60,1,2,6,1
34,0.967,1,92,9230,7499733.05,0,15,0,5,2,0
35,0.445,1,74,7428,7501442.02,1,50,1,6,5,0
36,1.099,1,17,1711,7500915.69,0,25,0,3,5,0
37,0.905,1,52,5289,7501298.36,0,52,1,3,5,1
38,0.595,1,82,8243,7501627.34,0,15,1,4,10,1
39,0.791,1,17,1744,7499116.93,0,50,0,5,2,0
40,1.072,1,16,1637,7498221.4,1,47,0,1,7,0
41,0.834,1,33,3349,7498239.19,1,57,0,4,7,0
42,1.09,1,16,1626,7499803.43,1,45,0,5,3,0
43,1.166,1,81,8153,7498572.52,0,57,0,4,7,1
44,0.748,1,71,7191,7499739.86,1,59,1,1,4,0
45,0.906,1,21,2144,7499834.81,1,27,0,2,7,0
46,1.643,1,92,9285,7497984.42,0,17,1,3,4,0
47,1.036,1,92,9233,7500918.77,0,33,0,6,2,0
48,0.746,1,72,7205,7500261.44,0,17,0,1,5,0
49,1.018,1,16,1683,7498537.5,0,47,0,5,6,0
50,0.598,1,33,3391,7499111.72,0,61,0,2,6,0
51,1.34,1,76,7654,7499403.47,1,36,1,4,7,0
52,1.111,1,11,1154,7501140.19,0,46,1,4,5,0
53,1.326,1,14,1498,7498844.56,0,48,1,3,4,1
54,1.271,1,16,1665,7499265.71,1,56,1,4,9,1
55,1.117,1,18,1848,7497599.13,1,54,1,6,3,1
56,1.293,1,92,9281,7499505.4,0,41,0,2,3,0
57,1.057,1,13,1341,7497803.99,1,23,1,2,2,1
58,0.801,1,11,1150,7498136.85,0,37,1,1,3,0
59,0.693,1,76,7698,7498562.05,0,64,0,1,4,0
60,0.866,1,34,3464,7503307.35,1,61,1,2,5,1
61,0.248,1,35,3513,7498132.62,1,40,0,2,1,0
62,1.548,1,33,3343,7501668.59,0,19,1,5,9,1
63,0.486,1,92,9204,7501224.46,1,15,0,4,10,0
64,0.977,1,19,1917,7498780.83,1,33,0,2,5,0
65,0.605,1,81,8103,7501574.43,0,28,0,2,9,0
66,0.392,1,12,1273,7502125.5,1,25,0,3,6,0
67,0.975,1,64,6426,7499507.07,1,23,1,2,6,0
68,0.909,1,17,1797,7500290.29,1,37,1,1,7,0
69,0.952,1,34,3454,7498098.24,1,25,1,2,1,1
70,1.165,1,13,1383,7503617.92,1,36,0,6,2,0
71,0.814,1,13,1340,7496755.34,1,20,1,2,6,1
72,1.114,1,14,1403,7499237.48,1,46,0,2,7,0
73,1.154,1,81,8152,7502781.16,0,28,0,5,6,0
74,0.9,1,31,3193,7501219.75,0,52,1,2,6,1
75,0.915,1,65,6599,7502070.01,1,36,1,2,10,0
76,1.162,1,61,6151,7497138.34,1,59,0,4,2,0
77,1.017,1,51,5158,7499036.49,0,31,1,5,8,0
78,1.048,1,35,3589,7498429.02,0,57,1,5,3,0
79,0.288,1,75,7536,7500568.27,1,43,1,4,1,0
80,1.018,1,52,5265,7498547.07,0,15,0,2,6,0
81,1.113,1,16,1691,7498688.12,0,34,1,4,5,0
82,0.959,1,53,5302,7497105.2,1,65,1,3,5,1
83,1.101,1,13,1372,7499151.94,0,50,0,2,4,0
84,1.571,1,91,9125,7499773.53,1,24,1,4,10,0
85,1.026,1,32,3217,7500475.01,1,43,0,2,3,0
86,1.2,1,16,1627,7500826.62,1,34,0,5,6,0
87,0.745,1,92,9253,7501072.43,0,46,1,1,1,1
88,0.744,1,19,1992,7499526.68,1,38,1,1,1,0
89,0.856,1,19,1976,7498447.91,0,56,0,2,8,0
90,0.694,1,51,5135,7499853.75,0,57,1,3,1,1
91,0.998,1,76,7614,7500550.75,1,56,1,6,1,0
92,0.72,1,75,7529,7499154.45,1,60,0,6,2,0
93,0.948,1,64,6483,7497779.37,0,43,1,6,8,0
94,0.569,1,63,6320,7500617.5,1,15,1,5,8,0
95,0.504,1,17,1750,7502481.63,1,26,1,1,2,0
96,0.797,1,35,3584,7503963.08,0,21,1,5,5,0
97,0.68,1,32,3275,7499770.13,1,41,1,6,8,0
98,0.804,1,51,5186,7498450.33,0,26,0,6,9,0
99,0.816,1,33,3372,7500766.05,1,29,0,3,2,0
100,0.895,1,71,7177,7498067.8,1,38,0,6,1,0
