ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.661,1,35,3509,7498772.38,0,41,1,5,3,0
2,1.323,1,12,1250,7499237.19,1,47,1,6,3,1
3,1.485,1,81,8107,7500356.37,1,20,1,2,8,1
4,1.02,1,64,6492,7500492.84,1,44,1,2,4,1
5,1.635,1,13,1308,7501614.4,1,56,0,5,8,0
6,0.928,1,51,5161,7497053.02,0,47,1,4,8,0
7,0.924,1,35,3504,7498887.35,1,57,1,1,2,1
8,0.615,1,18,1808,7498205.34,0,61,0,4,7,0
9,1.067,1,65,6525,7501712.95,0,28,1,5,1,1
10,1.316,1,36,3676,7501223.79,0,48,0,1,3,0
11,0.81,1,91,9191,7500538.79,1,19,0,1,10,0
12,0.889,1,65,6565,7501287.21,1,28,0,6,5,0
13,0.861,1,33,3381,7499125.04,1,43,1,3,6,1
14,0.901,1,72,7260,7500843.91,0,30,1,4,3,0
15,0.823,1,52,5233,7500116.72,1,42,1,5,3,0
16,0.595,1,21,2104,7500167.84,1,23,1,5,2,0
17,1.414,1,32,3216,7499826.18,1,29,1,6,1,0
18,0.408,1,11,1140,7501520.82,0,56,0,3,5,1
19,0.722,1,61,6181,7501692.81,0,59,1,2,7,0
20,1.103,1,51,5132,7497778.05,1,19,1,3,1,0
21,1.303,1,34,3440,7499194.32,1,37,1,4,9,0
22,0.937,1,75,7565,7500149.85,0,64,0,6,5,0
23,0.915,1,13,1332,7500919.98,0,19,0,2,5,1
24,1.015,1,34,3486,7497493.42,0,17,0,6,3,0
25,0.922,1,35,3563,7498567.9,0,34,0,5,3,0
26,1.263,1,33,3317,7499532.66,0,48,0,4,9,0
27,0.855,1,12,1222,7502761.34,0,28,0,1,5,0
28,0.704,1,36,3671,7498653.41,0,41,0,2,10,0
29,0.858,1,21,2106,7499399.43,0,19,1,3,9,0
30,1.029,1,19,1980,7499965.36,1,41,0,5,3,1
31,1.369,1,65,6583,7499851.26,0,16,0,1,3,0
