ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,0.791,1,21,2117,7499221.61,0,46,0,2,1,0
2,1.175,1,17,1771,7502457.42,1,25,1,4,6,1
3,0.679,1,52,5208,7497610.24,0,30,1,4,8,0
4,0.756,1,13,1378,7502598.45,1,62,0,3,1,0
5,0.755,1,35,3517,7500561.93,0,46,0,6,6,0
6,1.058,1,13,1303,7496732.22,0,40,1,2,8,1
7,0.973,1,82,8205,7498044.06,1,37,1,6,1,0
8,1.286,1,19,1967,7496087.81,0,51,0,4,1,0
9,0.718,1,34,3430,7503050.26,1,37,0,2,3,0
10,0.961,1,75,7578,7497568.51,1,46,1,1,10,1
11,1.288,1,73,7364,7500059.21,1,45,0,6,10,0
12,1.168,1,53,5325,7500005.29,0,19,1,4,3,0
13,0.603,1,62,6265,7501091.43,0,20,0,1,2,0
14,1.2,1,65,6586,7496443.58,1,43,0,5,5,0
15,0.856,1,75,7591,7499764.69,0,51,0,2,3,1
16,1.116,1,75,7594,7500204.3,1,30,0,5,9,0
17,1.09,1,36,3680,7498532.36,0,31,0,1,6,0
18,1.366,1,92,9205,7497716.19,1,60,1,1,3,0
19,1.035,1,11,1122,7502725.33,1,36,1,6,2,0
20,0.444,1,12,1228,7496909.06,0,17,1,2,9,0
21,0.589,1,71,7145,7499991.88,0,36,1,2,3,0
22,1.219,1,64,6475,7500358.87,0,44,1,3,9,0
23,0.923,1,12,1228,7501853.82,0,19,0,2,9,0
24,1.341,1,62,6265,7499735.82,1,61,1,4,2,0
25,1.082,1,19,1986,7499144.78,1,36,0,4,7,0
26,0.775,1,65,6526,7502203.83,0,60,0,1,5,0
27,1.325,1,74,7468,7499770.28,0,64,0,4,10,0
28,0.758,1,35,3506,7500415.56,0,22,1,3,8,0
29,0.384,1,64,6401,7500204.76,1,35,1,5,8,0
30,1.619,1,72,7246,7500370.63,1,35,1,6,4,0
31,0.427,1,72,7218,7501299.61,0,35,1,5,3,1
32,1.191,1,81,8175,7500871.14,0,61,0,4,10,0
33,1.282,1,33,3340,7497190.88,1,29,0,1,6,0
34,1.044,1,65,6524,7499960.79,1,17,1,2,6,0
35,0.495,1,71,7167,7501138.07,1,62,1,3,6,0
36,1.305,1,64,6484,7500149.32,0,23,0,6,9,0
37,0.568,1,74,7487,7498504.68,1,22,1,6,3,0
38,0.597,1,13,1377,7499515.41,0,37,1,2,6,0
39,0.891,1,53,5353,7501477.48,0,53,0,2,9,0
40,1.237,1,52,5225,7501958.46,1,28,0,2,4,0
41,1.09,1,52,5203,7498371.64,0,28,0,2,7,0
42,1.243,1,15,1572,7500812.87,1,39,1,3,7,0
43,0.867,1,72,7293,7500254.01,0,29,1,2,10,1
44,0.948,1,76,7672,7498463.76,0,31,1,1,4,1
45,0.659,1,32,3251,7499867.96,1,21,1,5,10,0
46,0.905,1,82,8261,7500533.42,1,43,1,1,9,1
47,1.178,1,14,1436,7498406.82,1,65,0,1,7,1
48,0.91,1,81,8197,7501973.72,0,53,0,6,8,0
49,1.143,1,34,3426,7501112.97,1,19,1,5,7,0
50,0.828,1,16,1642,7499894.24,0,62,0,1,6,0
51,0.822,1,11,1185,7499870.81,0,61,1,5,8,0
52,1.012,1,36,3659,7498785.67,1,54,1,1,1,1
53,0.942,1,34,3452,7500034.24,1,57,1,2,5,0
54,1.178,1,91,9106,7499464.84,1,18,1,6,1,0
