ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.519,1,71,7168,7498554.13,0,32,1,3,6,1
2,1.208,1,18,1896,7498639.58,1,17,1,2,7,1
3,0.847,1,92,9267,7498209.93,0,34,0,6,8,0
4,0.963,1,62,6297,7502727.37,1,63,0,4,3,1
5,0.391,1,76,7634,7499626.77,1,29,0,1,7,0
6,0.712,1,17,1778,7501929.0,1,28,1,3,8,1
7,0.694,1,61,6138,7500242.01,1,58,0,6,9,0
8,1.081,1,76,7660,7501951.81,0,54,1,4,3,1
9,1.194,1,34,3450,7500396.25,0,47,1,5,3,0
10,0.832,1,64,6434,7500560.61,0,54,0,2,1,1
11,0.823,1,36,3616,7498837.94,1,44,0,1,6,1
12,0.536,1,36,3657,7499252.3,1,28,0,4,6,0
13,0.962,1,91,9118,7500787.68,1,43,1,2,5,1
14,1.074,1,92,9214,7501115.41,0,33,0,1,10,0
15,1.134,1,76,7655,7499734.54,1,47,0,3,3,0
16,0.765,1,62,6269,7498559.25,1,54,0,3,3,0
17,1.597,1,62,6233,7498974.36,0,59,1,1,2,0
18,1.359,1,18,1823,7502957.97,1,37,0,5,1,0
19,0.971,1,32,3290,7501289.31,0,53,0,6,6,0
20,0.842,1,91,9178,7499341.99,0,24,0,3,3,0
21,0.904,1,81,8167,7498880.88,0,56,0,3,3,1
22,1.045,1,34,3460,7500741.33,1,37,1,4,7,1
23,0.994,1,17,1718,7500909.3,1,40,0,3,10,0
24,1.145,1,33,3350,7498621.46,0,59,0,4,3,0
25,1.231,1,11,1131,7498908.37,0,43,1,4,6,1
26,1.41,1,19,1961,7502995.25,0,54,0,6,4,0
27,1.344,1,51,5196,7501135.95,1,59,1,5,8,1
28,0.967,1,61,6164,7499992.42,1,64,1,3,8,1
29,1.116,1,71,7125,7502416.71,1,43,0,5,2,0
30,0.884,1,33,3336,7499008.59,0,55,0,4,3,0
31,0.824,1,92,9283,7502615.1,0,28,1,5,10,0
32,1.573,1,63,6375,7499890.56,0,57,1,2,7,1
33,0.862,1,53,5326,7499229.2,0,50,1,4,6,0
34,1.597,1,17,1736,7498790.48,0,26,1,3,9,0
35,0.895,1,21,2146,7498115.5,0,59,1,5,1,0
36,1.076,1,32,3223,7501014.03,1,63,0,4,9,1
37,1.327,1,12,1283,7500902.99,0,29,1,4,9,0
38,1.007,1,75,7590,7497766.82,1,64,1,6,1,0
39,1.118,1,62,6212,7499680.69,1,54,0,5,1,0
40,0.928,1,91,9113,7501368.23,0,27,0,5,4,0
41,0.857,1,36,3620,7499291.33,0,56,0,3,7,0
42,0.95,1,19,1904,7498368.93,1,17,0,4,1,0
43,0.805,1,61,6156,7499412.3,1,20,0,5,8,0
44,1.489,1,92,9234,7499040.72,0,29,1,5,2,0
45,0.95,1,76,7629,7499870.08,1,22,1,4,5,0
46,1.517,1,76,7679,7503383.29,0,32,0,1,1,0
47,0.194,1,81,8120,7498944.17,1,35,0,3,10,0
48,1.006,1,13,1339,7500489.54,1,29,0,3,10,1
49,1.169,1,92,9209,7499721.08,0,45,0,3,10,0
50,0.912,1,16,1654,7501201.23,0,32,0,6,8,0
51,1.328,1,74,7443,7501087.87,1,19,0,1,4,1
52,1.192,1,14,1480,7499972.34,0,20,0,5,2,0
53,0.918,1,74,7415,7498267.92,1,38,1,6,10,1
54,1.131,1,81,8197,7499843.1,1,53,0,2,5,1
55,1.844,1,13,1365,7498704.01,1,23,1,3,6,0
56,1.076,1,15,1522,7499352.47,0,63,1,6,9,0
57,1.09,1,62,6259,7501399.1,1,15,0,3,7,0
