ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.013,1,18,1835,7499905.97,1,40,0,3,9,0
2,0.932,1,35,3505,7501654.87,0,58,0,1,4,1
3,1.399,1,35,3506,7497571.53,1,65,0,1,10,0
4,0.914,1,92,9262,7498909.26,1,55,0,2,5,1
5,1.204,1,74,7451,7499041.52,1,39,0,5,3,0
6,0.904,1,34,3477,7500829.55,1,46,1,4,10,0
7,0.618,1,81,8146,7501146.99,0,43,0,4,1,0
8,1.094,1,21,2197,7500223.54,1,15,1,2,2,0
9,1.151,1,14,1422,7499816.2,1,65,0,6,3,0
10,1.388,1,14,1493,7498477.24,1,37,0,3,9,0
11,0.967,1,14,1472,7499243.92,0,39,0,4,4,0
12,0.815,1,92,9293,7498671.54,0,37,0,6,7,0
13,1.169,1,51,5126,7501001.18,1,25,0,3,10,0
14,1.072,1,75,7598,7502083.44,0,58,1,5,8,0
15,1.084,1,11,1102,7498584.95,0,46,0,5,9,0
16,0.978,1,76,7614,7500974.46,0,24,1,4,7,0
17,1.348,1,53,5339,7501484.73,0,54,0,6,10,0
18,1.111,1,35,3586,7497439.93,0,21,0,3,10,0
19,1.571,1,17,1728,7499840.36,1,45,0,6,10,0
20,1.333,1,75,7539,7500863.0,1,18,1,2,9,0
21,1.198,1,31,3185,7499254.63,1,33,1,4,3,0
22,0.512,1,91,9134,7499321.28,0,27,0,1,2,0
23,1.181,1,76,7602,7499131.63,1,24,1,5,7,1
24,1.126,1,53,5332,7500244.26,1,25,1,4,5,1
25,1.243,1,76,7639,7498895.18,0,42,0,6,10,0
26,1.313,1,75,7529,7501032.33,1,16,0,1,4,0
27,0.88,1,76,7676,7497717.28,1,36,1,3,2,0
28,1.247,1,73,7332,7503233.17,0,57,0,3,4,0
29,0.831,1,74,7452,7497528.25,0,21,0,2,7,0
30,1.586,1,33,3367,7501559.07,0,24,0,2,6,0
31,0.6,1,52,5268,7499470.23,1,51,0,5,5,0
32,0.472,1,18,1833,7498900.42,0,38,0,4,10,0
33,0.505,1,74,7475,7503436.56,0,23,1,3,7,0
34,0.733,1,18,1833,7499059.7,0,38,0,6,9,0
35,0.664,1,61,6198,7499452.58,1,33,1,2,5,0
36,1.587,1,91,9106,7501405.86,1,57,0,2,1,1
37,0.902,1,33,3301,7501614.01,1,36,1,1,4,1
38,0.597,1,91,9138,7499541.03,0,18,0,4,10,0
39,1.334,1,81,8173,7499866.49,0,29,0,2,4,0
40,0.824,1,64,6444,7501172.0,1,35,0,4,9,0
41,0.629,1,16,1625,7500738.16,1,58,0,6,3,0
42,1.263,1,74,7417,7502407.03,0,36,0,6,9,0
43,1.187,1,82,8297,7500435.15,1,24,0,4,8,0
44,0.87,1,64,6497,7499483.26,0,57,0,2,5,0
45,1.422,1,33,3342,7499521.66,1,17,1,4,7,1
46,1.039,1,64,6425,7498850.35,0,35,1,4,5,0
47,1.485,1,53,5322,7503172.63,1,58,1,1,8,0
48,1.151,1,76,7628,7501665.77,1,31,0,3,6,0
49,1.468,1,76,7647,7502125.73,1,28,0,5,6,0
50,1.033,1,53,5336,7499715.31,1,57,0,6,5,0
51,0.634,1,82,8263,7499257.26,1,50,1,2,8,1
52,1.735,1,61,6169,7497579.11,1,26,0,1,8,1
53,0.836,1,76,7663,7500340.81,0,43,0,2,3,0
54,0.94,1,64,6433,7502164.33,0,57,1,3,9,0
55,0.79,1,36,3646,7498703.52,1,36,1,6,2,0
56,0.939,1,18,1889,7498688.24,1,49,1,1,8,1
57,1.073,1,75,7543,7497732.13,1,59,0,4,2,0
58,1.061,1,61,6158,7501102.78,0,57,0,4,6,0
59,1.198,1,74,7426,7496321.03,1,43,1,6,2,0
60,1.538,1,61,6133,7500745.84,1,33,0,4,9,0
61,0.964,1,36,3634,7500649.86,0,23,1,2,2,0
62,0.63,1,17,1707,7499931.76,0,45,0,1,3,0
63,0.645,1,71,7166,7500272.46,1,15,1,3,3,0
