ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,1.124,1,74,7445,7498299.28,1,31,1,1,10,1
2,0.888,1,53,5341,7498634.61,0,16,1,5,3,0
3,0.904,1,53,5378,7500039.5,0,30,1,1,5,0
4,0.822,1,33,3378,7501407.48,1,30,0,1,7,0
5,0.944,1,17,1782,7500292.14,0,28,0,4,7,0
6,0.554,1,53,5357,7498425.55,1,43,1,4,7,1
7,1.184,1,21,2199,7496983.48,1,39,1,3,5,1
8,0.919,1,32,3220,7501533.84,1,25,1,2,4,0
9,1.208,1,61,6146,7501530.76,0,54,1,3,5,1
10,1.288,1,18,1854,7502461.19,0,45,1,6,4,0
11,1.095,1,72,7284,7499146.79,1,55,1,4,4,1
12,0.696,1,76,7610,7498598.54,0,16,1,5,10,0
13,0.633,1,75,7596,7499140.23,1,53,0,5,10,0
14,1.247,1,92,9211,7502677.6,1,44,0,1,8,1
15,1.251,1,35,3556,7499695.07,0,30,1,3,4,1
16,0.587,1,14,1456,7499658.38,1,28,1,3,7,0
17,0.716,1,63,6397,7501243.18,0,25,1,4,7,0
18,1.327,1,92,9271,7502254.32,1,16,0,5,6,0
19,1.022,1,21,2142,7498956.52,1,58,1,5,9,1
20,1.609,1,64,6408,7500130.15,0,26,1,3,5,0
21,1.155,1,61,6190,7498366.23,1,28,0,3,6,0
22,1.279,1,15,1519,7496642.57,0,32,1,6,4,0
23,0.975,1,15,1599,7502680.04,1,19,1,6,8,0
24,0.865,1,81,8138,7501152.83,0,63,1,4,6,1
25,0.565,1,63,6389,7501064.22,1,28,0,4,7,0
26,0.188,1,17,1741,7502520.65,1,25,1,5,6,0
27,1.335,1,21,2175,7499013.73,0,19,1,3,2,0
28,1.238,1,52,5285,7497533.79,0,20,0,2,10,0
29,0.849,1,72,7286,7499699.57,1,28,0,6,6,0
30,1.316,1,81,8187,7502405.74,0,15,0,3,10,0
31,0.56,1,53,5320,7501694.97,1,58,1,2,5,0
32,1.472,1,51,5119,7499540.71,1,21,0,1,3,0
33,1.142,1,17,1762,7501143.65,0,21,0,6,4,0
34,1.503,1,34,3420,7500373.14,0,26,1,6,2,0
35,0.493,1,82,8216,7499243.6,1,60,0,2,8,0
36,1.428,1,11,1192,7498748.33,0,31,1,1,9,0
37,1.279,1,91,9118,7498308.62,0,30,0,4,9,0
38,1.102,1,21,2134,7500774.41,0,62,0,6,1,0
39,0.739,1,16,1696,7500430.83,0,60,0,5,5,0
40,1.106,1,76,7697,7499782.81,0,63,0,5,4,1
41,1.079,1,82,8209,7499012.35,0,53,1,1,2,0
42,0.817,1,14,1493,7499547.4,0,62,0,4,5,0
43,0.589,1,13,1361,7498715.79,0,30,0,5,6,0
44,0.679,1,74,7470,7499997.97,0,53,1,2,10,1
45,0.841,1,61,6171,7499676.6,0,58,1,1,2,1
