ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
1,0.69,1,13,1398,7498881.9,1,50,0,4,2,1
2,1.204,1,62,6279,7499277.4,1,54,1,6,9,0
3,0.759,1,36,3608,7500584.24,1,22,0,3,3,0
4,0.793,1,15,1554,7501541.32,1,53,1,1,1,1
5,0.863,1,34,3447,7499417.33,0,44,1,2,1,0
6,1.005,1,81,8134,7497065.33,0,64,0,3,5,0
7,0.894,1,65,6582,7500079.39,1,26,1,2,3,1
8,0.588,1,21,2130,7499349.87,1,18,1,4,2,0
9,0.807,1,73,7313,7500069.83,0,28,0,2,3,0
10,0.333,1,73,7347,7496421.53,0,39,1,6,3,0
11,1.188,1,64,6433,7499609.76,0,19,0,4,4,0
12,0.519,1,33,3335,7498185.46,0,37,0,1,5,0
13,0.669,1,36,3688,7499535.19,1,44,0,3,8,0
14,1.016,1,73,7326,7499114.3,1,53,1,5,6,0
15,0.778,1,51,5147,7502764.26,0,26,0,6,2,0
16,1.463,1,11,1153,7500481.87,0,29,0,3,4,1
17,0.612,1,31,3165,7497870.37,0,33,0,5,2,0
18,1.08,1,32,3277,7499132.81,0,40,0,1,1,0
19,0.988,1,34,3474,7500724.05,1,59,1,2,2,1
20,0.65,1,18,1819,7499930.77,0,18,1,6,5,0
21,1.157,1,81,8105,7498924.22,0,52,0,6,1,0
22,0.949,1,17,1708,7503033.04,0,22,1,4,3,0
23,1.232,1,81,8104,7501708.79,1,44,1,4,2,1
24,1.247,1,36,3649,7502128.44,1,29,1,4,4,1
25,1.649,1,53,5377,7500374.81,1,26,0,1,2,0
26,1.401,1,18,1838,7500032.4,0,24,1,1,5,0
27,0.889,1,75,7549,7501917.27,1,26,1,6,8,0
28,0.928,1,12,1283,7499269.17,1,31,1,5,6,0
29,1.33,1,13,1352,7502030.39,0,54,1,3,7,0
30,1.197,1,75,7550,7499757.76,1,16,1,3,10,0
31,1.192,1,35,3572,7501574.47,0,33,0,2,3,0
32,0.515,1,74,7491,7500159.04,1,43,1,5,6,0
33,0.993,1,82,8250,7499445.69,1,15,1,1,3,0
34,0.779,1,76,7630,7501227.15,0,36,0,1,3,0
35,1.084,1,76,7604,7501669.52,0,39,0,4,2,0
36,0.971,1,92,9275,7496426.11,1,24,0,5,4,1
37,1.273,1,33,3385,7497696.12,1,23,0,5,9,0
38,1.095,1,91,9166,7502323.91,0,33,1,1,4,0
39,1.236,1,51,5121,7498364.71,1,26,1,5,1,0
40,0.86,1,13,1381,7500181.74,0,43,1,4,8,1
41,0.717,1,19,1943,7498159.87,0,32,1,4,4,0
42,0.877,1,31,3129,7501561.93,0,30,1,6,9,0
43,0.995,1,73,7327,7499498.23,1,18,0,1,3,0
44,1.114,1,74,7488,7498923.87,1,57,1,1,5,1
45,1.678,1,12,1253,7500612.8,1,39,0,5,4,0
46,0.987,1,11,1149,7497526.02,1,36,0,6,2,0
47,0.713,1,16,1667,7500265.42,1,43,0,5,7,0
48,0.896,1,71,7110,7501346.38,0,36,1,6,6,0
49,0.861,1,36,3603,7497742.21,1,29,1,6,9,0
50,1.144,1,14,1490,7500844.11,0,62,0,6,5,0
51,0.538,1,61,6191,7498257.38,0,16,0,3,4,0
52,1.019,1,71,7169,7500398.03,1,27,0,5,7,0
53,1.047,1,17,1711,7501803.31,0,26,0,5,6,0
54,1.07,1,62,6213,7497638.71,1,40,0,2,4,1
55,0.821,1,17,1798,7501129.5,0,54,0,6,8,0
56,0.929,1,75,7538,7499618.84,0,26,1,1,9,0
57,0.573,1,17,1740,7499721.78,0,41,0,5,9,0
58,0.852,1,13,1333,7501599.26,1,60,0,2,4,1
