Domain,Y,X1,X2,u_d,e,RSE (%),vardir
1,434.20505318297006,34.83507805009582,131.01791045635318,-0.7517732956315258,-1.254384684583839,10.511742746354699,2083.239466018521
1,458.4420190557242,45.660229322902715,113.3775184448717,-0.7517732956315258,4.137608847098743,19.992346757824865,8400.330724824456
1,423.593464891942,49.2828895021259,88.27524205456785,-0.7517732956315258,1.3803065678083808,18.21376856488301,5952.482541563587
1,461.02811881326136,49.36789943079741,109.89547687546583,-0.7517732956315258,-4.850558796025764,20.810871746164644,9205.24547913944
1,433.61172804261076,37.52253646037834,123.57622232676037,-0.7517732956315258,-0.4016256171701037,20.84020500794071,8165.936794923863
1,356.6812826804524,37.40822857950674,86.2563358066688,-0.7517732956315258,-2.120758534787342,9.506624072932475,1149.7761104041247
1,481.2456743289368,58.65721261385733,95.43909737961626,-0.7517732956315258,-2.1668102039508446,12.858152624955625,3829.0481776621286
1,386.0881744459065,49.38635583734392,71.97703589741715,-0.7517732956315258,-4.045903240015871,8.501073209542584,1077.2599448337194
1,492.1779183870807,54.23388012487265,110.58976324569063,-0.7517732956315258,0.5807645669677088,18.005144814611135,7853.034180657391
1,471.284096853317,47.59231730196888,119.94003561439024,-0.7517732956315258,-5.805787589676358,11.121377617417739,2747.1523461528063
1,489.11938133419517,60.52061996896382,94.57820168343754,-0.7517732956315258,-1.8883485818674743,17.188433477706795,7068.094372017258
1,481.8311844775991,51.64146063167983,113.9401851504997,-0.7517732956315258,-3.504715686167931,8.087487426790421,1518.5078657802314
1,468.90325242326213,44.013964072093685,123.83468079245313,-0.7517732956315258,1.9158437735189802,20.37192424617373,9124.952141875261
1,390.3225656212886,35.054130860992615,106.04546683555807,-0.7517732956315258,3.7127509408409374,15.529252237971075,3674.078302706557
2,397.49664659484415,45.22235824086597,84.40125975203553,-1.7304154583882823,4.312751344831492,24.28470101953077,9318.209285418225
2,372.80469803653654,30.836019595571386,110.08695515041862,-1.7304154583882823,0.18110521623064454,6.396097534005889,568.5817405450898
2,424.0156015092793,45.233784602505345,98.50304245846817,-1.7304154583882823,2.5710090382045427,15.061169881447064,4078.3180127010064
2,442.51965277178084,42.40997269288081,116.05917799665005,-1.7304154583882823,0.08184877246495192,5.999957372761555,704.955098251557
2,383.84325294891795,31.327290278341714,114.13980957754336,-1.7304154583882823,0.6575978605109004,9.352836393922894,1288.8266186966096
3,475.0989517715569,48.86762092028433,114.40222417089956,-1.6643171621165092,3.62071599045267,20.972479992824816,9928.136097806488
3,541.2167533182765,49.78279106559246,144.64505147848848,-1.6643171621165092,4.677012195453656,15.692929817986911,7213.57461495223
3,365.4538373830332,34.55980720637157,96.70716461497602,-1.6643171621165092,0.904789283339785,5.878626145892754,461.54785476699413
3,459.20745749865995,42.916564185083445,122.57105985092693,-1.6643171621165092,1.146834033505404,10.373795499388653,2269.306878611
3,461.8042231240485,56.44675125392371,94.69054423965608,-1.6643171621165092,-8.146304462765688,15.746701818700618,5288.043362316084
3,500.02941402468485,54.41673404988152,116.30525801875012,-1.6643171621165092,-3.0004551001064987,5.3767150126683045,722.811643880661
3,421.47166645828025,53.220478537973754,77.55716639338013,-1.6643171621165092,1.9192581437677294,18.38769317556614,6006.082112968797
3,373.54338234618945,42.08733694457469,79.9443571432699,-1.6643171621165092,4.882300498892755,6.938620081394147,671.7819198547207
4,562.6040193213122,56.87332915029135,138.6574191780908,2.495534561742512,-1.5729993480685747,13.375518378101585,5662.743703488792
4,363.1717172188394,27.59317767172146,111.37012964093208,2.495534561742512,-0.029964983374563298,16.814599310119355,3729.04036381217
4,450.3554249735012,53.47800322093141,88.76214982500815,2.495534561742512,2.9455746570853756,23.565516948049428,11263.27634154587
4,333.70836880209333,31.013441672282788,86.14414943752095,2.495534561742512,3.8573270038950462,15.502284978848477,2676.2435201260882
4,274.36410023692144,24.82186248687362,74.65365576458295,2.495534561742512,-1.548058288355038,16.04829464049783,1938.7077551799337
