Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,9,52.49827766007612,98.39491779116784
2,Domain_2,7,47.39042003108799,100.56326984856155
3,Domain_3,18,53.2527045109466,99.19928634784563
4,Domain_4,11,50.51269920126235,108.52043537224623
5,Domain_5,11,47.99373910343601,104.59842564789838
6,Domain_6,5,46.22753651297794,92.702808383442
7,Domain_7,9,43.52722065916939,89.92585017032103
8,Domain_8,19,41.538974882698255,95.0564444340406
9,Domain_9,5,48.62492864807675,95.80126797436832
10,Domain_10,18,46.872930206027846,105.18370679263263
