Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,12,54.49264404735429,100.56415638923642
2,Domain_2,17,45.44163897470156,100.76028992147442
3,Domain_3,14,45.799912811262715,99.50182482361224
4,Domain_4,19,55.6400872510548,97.38411634199173
5,Domain_5,9,53.66522222910625,98.10022460151251
6,Domain_6,17,49.05129193633059,111.31175648369839
7,Domain_7,18,49.6023659707084,107.70191614365385
8,Domain_8,17,50.46680650235977,102.58283982180929
9,Domain_9,14,56.511350080840266,106.4286407071751
10,Domain_10,19,49.579245789012276,95.91294312842378
