Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,17,47.08084648849263,101.59232205670864
2,Domain_2,17,49.27917445037611,100.69944492265482
3,Domain_3,19,43.72243845368513,100.10160953166232
4,Domain_4,7,51.7345043614684,97.48648801163705
5,Domain_5,9,56.2089298410658,95.8387030737915
6,Domain_6,14,48.92387826179116,99.41760236251214
7,Domain_7,8,47.98839578693565,90.45611771516022
8,Domain_8,6,45.80937512271614,98.89967299339159
9,Domain_9,17,50.70832725934782,94.33729146613841
10,Domain_10,19,50.688776482657026,94.37988550375498
