Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,16,52.43243075593034,98.17606870455684
2,Domain_2,17,50.545711388892904,103.27423631629009
3,Domain_3,7,50.92443984013531,89.8204614585011
4,Domain_4,5,54.7229468225455,117.72689311828744
5,Domain_5,15,53.064265462866175,106.61964084967767
6,Domain_6,11,44.18208883831181,96.7153610591094
7,Domain_7,7,49.267909208941255,105.75418099945678
8,Domain_8,15,49.52783850753754,100.77072248971386
9,Domain_9,8,54.06793861177864,97.43334514471204
10,Domain_10,17,48.616847035738225,110.23809800149778
