Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,18,48.41771442662654,90.66805210326233
2,Domain_2,8,53.34228744915796,97.69337934300569
3,Domain_3,5,48.573812868930126,98.34268766064257
4,Domain_4,6,43.60882066730944,97.07061489807558
5,Domain_5,14,52.33493589727548,98.27039096187565
6,Domain_6,19,52.72099032964666,96.39308093111717
7,Domain_7,9,52.96586919874101,95.83352786818136
8,Domain_8,9,62.042063946222605,111.51171176117009
9,Domain_9,12,48.16831692528365,101.61942404004685
10,Domain_10,18,53.640767414890824,97.23691441637229
