Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,5,51.883324443508464,99.40900287546323
2,Domain_2,10,54.825645184690785,88.33463071206192
3,Domain_3,10,54.35892680385826,97.18935760870272
4,Domain_4,13,47.82638904834162,95.47531292502082
5,Domain_5,19,48.26025398350479,105.75313632087715
6,Domain_6,6,53.426676614771544,97.74298021300372
7,Domain_7,17,49.06059338026949,102.12210696488329
8,Domain_8,16,50.95138937102305,99.98625937558174
9,Domain_9,9,43.07363074394336,100.03181087784216
10,Domain_10,8,40.6955216507512,92.6147780987665
