Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,7,52.19279625281686,104.3553700652346
2,Domain_2,19,47.84856322804638,96.0395297217018
3,Domain_3,15,51.617224018578874,103.07377633697672
4,Domain_4,19,56.153376767592185,107.89087600800096
5,Domain_5,5,48.534845630467274,87.08192460482934
6,Domain_6,8,52.744222335697415,115.34475625107335
7,Domain_7,17,49.625397016009416,97.91140293145196
8,Domain_8,12,49.71916718556126,100.26472601513773
9,Domain_9,7,49.8212088771086,100.57307332213031
10,Domain_10,19,50.24606847408649,99.38697743190438
