Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,16,52.63800779878017,102.17241985156946
2,Domain_2,15,44.958892191984674,91.81406502779654
3,Domain_3,19,56.12362637778527,106.89065554726113
4,Domain_4,17,44.37161769806142,110.57739894944119
5,Domain_5,15,46.39983218903912,102.71157526761982
6,Domain_6,10,52.758543007054755,116.86519056054688
7,Domain_7,13,50.90844784966992,110.49783510156131
8,Domain_8,5,44.01439661054081,101.35390244707038
9,Domain_9,5,55.134328618473226,109.72161386249125
10,Domain_10,17,54.46135223977622,103.4899486827221
