Domain,DomainName,PopnSegments,MeanX1Pop,MeanX2Pop
1,Domain_1,15,50.713895735907585,94.54493835745463
2,Domain_2,10,44.11576070220913,97.66291753964026
3,Domain_3,10,47.15318940665782,97.96404018553146
4,Domain_4,15,45.56208219494481,94.0468632854376
5,Domain_5,6,54.967236012018745,103.88101924111544
6,Domain_6,18,47.85375124211906,99.59730662679068
7,Domain_7,11,44.09371967045917,92.01113157873618
8,Domain_8,19,53.596340118617434,106.5966247604514
9,Domain_9,17,55.029354037020006,100.43809969560343
10,Domain_10,8,46.83465575604418,100.93992150637071
