eqIncome,gender,eqsize,cash,self_empl,unempl_ben,age_ben,surv_ben,sick_ben,dis_ben,rent,fam_allow,house_allow,cap_inv,tax_adj,state,district
16456.11,male,2.366553519949974,21059.74,0.0,0.0,10909.87,0.0,0.0,0.0,5084.34,0.0,2803.95,0.0,-862.84,State3,District1
11847.32,female,1.4952125535383756,0.0,0.0,0.0,13594.49,0.0,3411.04,6067.45,0.0,0.0,0.0,1400.57,-1112.7,State2,District2
21643.56,male,2.0861314682406626,13736.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.37,0.0,147.42,-1319.86,State3,District3
12244.27,female,2.939799700822495,26697.64,0.0,6482.77,10212.9,0.0,0.0,0.0,5873.58,0.0,0.0,74.66,-847.31,State3,District1
11817.03,male,1.9440599033852979,12889.4,0.0,4323.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.64,-1653.75,State2,District1
22238.92,male,2.594323723156069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2776.44,5009.15,998.23,0.0,State3,District3
15043.09,male,2.3407537854494955,9822.96,8066.48,0.0,10627.21,5293.38,3759.59,0.0,0.0,2162.4,0.0,402.85,-948.08,State1,District2
21535.59,female,2.828144229769924,10096.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1225.19,State2,District3
21538.11,female,2.2060800480588396,29765.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.41,0.0,State3,District4
22431.41,male,2.4385376963946754,11024.04,0.0,0.0,0.0,0.0,3208.28,0.0,0.0,1350.16,0.0,0.0,0.0,State3,District5
20665.41,female,2.950511729764863,21488.16,12878.01,5739.04,0.0,0.0,2235.9,0.0,0.0,0.0,0.0,0.0,-906.82,State3,District5
14804.26,male,2.6313549362317197,0.0,17060.12,2576.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2997.79,-1468.76,State2,District3
25686.21,female,1.3216574050547478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3306.74,0.0,State2,District1
17375.21,male,2.8133500869270454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1371.65,State2,District3
11914.43,male,2.051674151810981,31547.39,5229.05,0.0,0.0,0.0,2976.18,0.0,0.0,0.0,0.0,23.28,-1541.11,State1,District1
14325.79,female,1.4174246293280257,15841.34,26432.07,0.0,0.0,0.0,2763.29,0.0,1323.68,3295.41,0.0,0.0,-1520.16,State2,District1
14651.22,female,1.299081967352411,0.0,0.0,5789.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1784.6,State3,District3
15211.13,male,2.7562775954123104,26439.02,6684.47,4187.57,0.0,0.0,0.0,0.0,0.0,3504.17,0.0,0.0,0.0,State2,District3
20085.85,female,1.997743728581389,20821.22,0.0,0.0,13540.65,0.0,0.0,8925.76,0.0,0.0,0.0,801.84,0.0,State3,District4
20490.97,female,1.90563447395216,12373.53,9956.74,0.0,0.0,0.0,0.0,0.0,1043.57,0.0,0.0,0.0,0.0,State1,District4
18109.92,male,2.9049946771051367,0.0,0.0,4802.27,12430.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State2,District3
20966.65,female,1.8885000761652517,15780.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-487.86,State3,District2
25663.65,male,2.5509672507504497,0.0,0.0,5328.17,9747.43,0.0,0.0,0.0,4520.94,3379.26,3995.23,0.0,0.0,State3,District4
17769.16,male,1.5667725958807872,0.0,0.0,6133.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1124.83,State1,District5
22714.43,male,2.0431922757753265,0.0,-3793.64,0.0,11704.06,0.0,0.0,0.0,4552.17,0.0,0.0,0.0,0.0,State2,District5
20112.54,female,1.1161312614775345,17226.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.18,0.0,0.0,-299.1,State3,District5
27162.81,male,2.207649082021386,0.0,15705.45,0.0,0.0,0.0,0.0,0.0,0.0,1936.67,0.0,0.0,-859.86,State3,District2
20583.26,male,1.6236399925914762,0.0,6194.36,0.0,0.0,0.0,2859.4,0.0,0.0,0.0,0.0,1404.62,-793.13,State2,District5
19474.18,female,1.719982568473851,3194.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1278.47,State1,District1
18054.88,female,1.2946739693711675,0.0,0.0,0.0,7155.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State3,District5
11786.94,male,1.1229233245702062,5848.03,0.0,0.0,13661.7,0.0,0.0,0.0,0.0,0.0,0.0,354.68,0.0,State1,District5
22787.04,female,2.5935821857889305,18884.31,0.0,3081.34,0.0,0.0,0.0,0.0,0.0,0.0,5879.07,0.0,-1332.83,State3,District3
24329.0,male,2.787138383517794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,State1,District3
